# Model:              Mantle-stripped_Asteroid_11_2_18.mph
# Version:            COMSOL 5.3.0.260
# Date:               Jan 15 2018, 10:49
# Table:              Probe Table 2 
# Time (s)               Top Temperature          Melting Degree           Temperature P(0.5,0.5)   Rayleigh number          Bottom Temperature       Dynamic Viscosity [Pa s]  Nu = 0.006*Ra^(0.3)        Nu=0.385*Ra^(0.233)     Reynolds number
1.002004008016032        0.26899451666865565      0                        0.3781429304063659       0                        0.4179266581240242       1.0E14                   0                        0                        0
1.006012024048096        0.26831810921295307      0                        0.3770084237124288       0                        0.4166257373760316       1.0E14                   0                        0                        0
1.0100200400801602       0.26764456695459055      0                        0.37587868427336896      0                        0.41533024756900483      1.0E14                   0                        0                        0
1.0140280561122244       0.26697388033563774      0                        0.3747536974844913       0                        0.4140401732772441       1.0E14                   0                        0                        0
1.0180360721442885       0.2663060379773644       0                        0.37363344600771986      0                        0.41275549623763697      1.0E14                   0                        0                        0
1.0220440881763526       0.2656410203475879       0                        0.3725178998981782       0                        0.4114761847209989       1.0E14                   0                        0                        0
1.0260521042084167       0.26497881994672456      0                        0.37140704755019105      0                        0.4102022263206897       1.0E14                   0                        0                        0
1.0300601202404809       0.2643194244321142       0                        0.37030086993961037      0                        0.40893360077610974      1.0E14                   0                        0                        0
1.034068136272545        0.26366281432366917      0                        0.3691993368545042       0                        0.40767027572370274      1.0E14                   0                        0                        0
1.0380761523046091       0.26300898389754546      0                        0.36810243933653797      0                        0.40641224148588684      1.0E14                   0                        0                        0
1.0420841683366733       0.26235791997161         0                        0.36701015685655225      0                        0.4051594759865389       1.0E14                   0                        0                        0
1.0460921843687374       0.26170960317819536      0                        0.36592245907133064      0                        0.40391194641541794      1.0E14                   0                        0                        0
1.0501002004008015       0.261064029313247        0                        0.3648393393340257       0                        0.4026696455254064       1.0E14                   0                        0                        0
1.0541082164328657       0.26042118387848345      0                        0.36376077485230074      0                        0.401432548593776        1.0E14                   0                        0                        0
1.0581162324649298       0.2597810494469311       0                        0.36268673807725443      0                        0.40020062558776326      1.0E14                   0                        0                        0
1.062124248496994        0.2591436213304622       0                        0.36161722155743453      0                        0.3989738683444155       1.0E14                   0                        0                        0
